Sample description: CaMK2a_WT_4mgmL_20mMMES_150mMNaCl_1mMDTT
Sample: CaMK2a_WT_4mgmL  c= 6.08 mg/ml  Code: CaMK2a_WT_4mgmL_MES_red
Parent(s): /Users/nqd670/Documents/Projects/CamKIIa_local/P12_Oct2022/analysis/FINAL_WT_6x_highconc/sub_002.dat
  4.080330e-01   4.045563e-02   2.983959e-04
  4.108280e-01   3.939780e-02   2.955928e-04
  4.136220e-01   3.894301e-02   2.895446e-04
  4.164170e-01   3.876474e-02   2.896053e-04
  4.192120e-01   3.767217e-02   2.827743e-04
  4.220070e-01   3.792089e-02   2.818942e-04
  4.248010e-01   3.697406e-02   2.784819e-04
  4.275960e-01   3.674465e-02   2.734939e-04
  4.303910e-01   3.610574e-02   2.744248e-04
  4.331860e-01   3.545880e-02   2.700414e-04
  4.359800e-01   3.511702e-02   2.704472e-04
  4.387750e-01   3.401743e-02   2.602785e-04
  4.415700e-01   3.399508e-02   2.609844e-04
  4.443650e-01   3.332554e-02   2.575781e-04
  4.471590e-01   3.330567e-02   2.601285e-04
  4.499540e-01   3.253215e-02   2.526112e-04
  4.527490e-01   3.197906e-02   2.502082e-04
  4.555440e-01   3.070044e-02   2.451268e-04
  4.583380e-01   3.063237e-02   2.439342e-04
  4.611330e-01   3.029781e-02   2.413905e-04
  4.639280e-01   2.958007e-02   2.391870e-04
  4.667230e-01   2.933974e-02   2.365367e-04
  4.695170e-01   2.853033e-02   2.352569e-04
  4.723120e-01   2.866722e-02   2.342324e-04
  4.751070e-01   2.794350e-02   2.287523e-04
  4.779010e-01   2.778072e-02   2.279791e-04
  4.806960e-01   2.723842e-02   2.263071e-04
  4.834910e-01   2.713090e-02   2.275730e-04
  4.862860e-01   2.605847e-02   2.201888e-04
  4.890800e-01   2.587480e-02   2.188025e-04
  4.918750e-01   2.548485e-02   2.149941e-04
  4.946700e-01   2.474796e-02   2.142579e-04
  4.974650e-01   2.480408e-02   2.139332e-04
  5.002590e-01   2.441762e-02   2.114132e-04
  5.030540e-01   2.408697e-02   2.091072e-04
  5.058490e-01   2.370813e-02   2.084428e-04
  5.086440e-01   2.315441e-02   2.039655e-04
  5.114380e-01   2.308446e-02   2.091380e-04
  5.142330e-01   2.226276e-02   2.088250e-04
  5.170280e-01   2.224959e-02   2.110365e-04
  5.198230e-01   2.195512e-02   2.120684e-04
  5.226170e-01   2.109885e-02   2.083549e-04
  5.254120e-01   2.064587e-02   2.075031e-04
  5.282070e-01   2.018623e-02   2.061331e-04
  5.310020e-01   2.007132e-02   2.079523e-04
  5.337960e-01   2.018405e-02   2.086094e-04
  5.365910e-01   1.907038e-02   2.021095e-04
  5.393860e-01   1.876737e-02   2.041679e-04
  5.421810e-01   1.857329e-02   2.030005e-04
  5.449750e-01   1.865595e-02   2.034329e-04
  5.477700e-01   1.814826e-02   2.029113e-04
  5.505650e-01   1.781206e-02   1.936194e-04
  5.533600e-01   1.730977e-02   1.891222e-04
  5.561540e-01   1.685245e-02   1.842301e-04
  5.589490e-01   1.668651e-02   1.817002e-04
  5.617440e-01   1.646528e-02   1.793967e-04
  5.645390e-01   1.621784e-02   1.788192e-04
  5.673330e-01   1.568741e-02   1.730610e-04
  5.701280e-01   1.533611e-02   1.704949e-04
  5.729230e-01   1.511522e-02   1.671031e-04
  5.757180e-01   1.476375e-02   1.659982e-04
  5.785120e-01   1.457714e-02   1.656569e-04
  5.813070e-01   1.425832e-02   1.598572e-04
  5.841020e-01   1.412463e-02   1.613584e-04
  5.868970e-01   1.395673e-02   1.589821e-04
  5.896910e-01   1.372438e-02   1.574969e-04
  5.924860e-01   1.331540e-02   1.554331e-04
  5.952810e-01   1.295900e-02   1.526843e-04
  5.980760e-01   1.263980e-02   1.519570e-04
  6.008700e-01   1.248146e-02   1.502705e-04
  6.036650e-01   1.212919e-02   1.475523e-04
  6.064600e-01   1.213018e-02   1.484219e-04
  6.092550e-01   1.168049e-02   1.439396e-04
  6.120490e-01   1.161417e-02   1.445455e-04
  6.148440e-01   1.127354e-02   1.415041e-04
  6.176390e-01   1.105139e-02   1.404963e-04
  6.204340e-01   1.069230e-02   1.384103e-04
  6.232280e-01   1.067901e-02   1.374577e-04
  6.260230e-01   1.051934e-02   1.373523e-04
  6.288180e-01   9.968286e-03   1.320918e-04
  6.316120e-01   1.004194e-02   1.329223e-04
  6.344070e-01   9.810755e-03   1.317409e-04
  6.372020e-01   9.559344e-03   1.304615e-04
  6.399970e-01   9.338766e-03   1.280362e-04
  6.427910e-01   9.115406e-03   1.266304e-04
  6.455860e-01   8.977515e-03   1.265526e-04
  6.483810e-01   8.558980e-03   1.243060e-04
  6.511760e-01   8.617265e-03   1.237038e-04
  6.539700e-01   8.529378e-03   1.241007e-04
  6.567650e-01   8.096898e-03   1.214822e-04
  6.595600e-01   8.070067e-03   1.216253e-04
  6.623550e-01   7.876464e-03   1.204543e-04
  6.651490e-01   7.741298e-03   1.193955e-04
  6.679440e-01   7.709645e-03   1.188547e-04
  6.707390e-01   7.446230e-03   1.182506e-04
  6.735340e-01   7.342355e-03   1.170995e-04
  6.763280e-01   7.049079e-03   1.148007e-04
  6.791230e-01   7.322643e-03   1.170461e-04
  6.819180e-01   6.944345e-03   1.141942e-04
  6.847130e-01   6.670382e-03   1.130346e-04
  6.875070e-01   6.695036e-03   1.123608e-04
  6.903020e-01   6.546424e-03   1.109963e-04
  6.930970e-01   6.348572e-03   1.109154e-04
  6.958920e-01   6.074206e-03   1.084413e-04
  6.986860e-01   6.176207e-03   1.087357e-04
  7.014810e-01   5.877408e-03   1.071039e-04
  7.042760e-01   5.856429e-03   1.064355e-04
  7.070710e-01   5.714240e-03   1.060200e-04
  7.098650e-01   5.586000e-03   1.043334e-04
  7.126600e-01   5.559655e-03   1.047397e-04
  7.154550e-01   5.313395e-03   1.026908e-04
  7.182500e-01   5.499824e-03   1.034318e-04
  7.210440e-01   5.155543e-03   1.013958e-04
  7.238390e-01   5.385016e-03   1.025338e-04
  7.266340e-01   4.919755e-03   1.000409e-04
  7.294290e-01   4.828842e-03   9.967331e-05
  7.322230e-01   4.767248e-03   9.814033e-05
  7.350180e-01   4.450837e-03   9.697112e-05
  7.378130e-01   4.485852e-03   9.601949e-05
  7.406080e-01   4.563523e-03   9.700549e-05
  7.434020e-01   4.533349e-03   9.674130e-05
  7.461970e-01   4.264416e-03   9.468459e-05
  7.489920e-01   4.379691e-03   9.560939e-05
  7.517870e-01   4.347548e-03   9.436189e-05
  7.545810e-01   4.339336e-03   9.529530e-05
  7.573760e-01   4.095594e-03   9.278668e-05
  7.601710e-01   4.184967e-03   9.356153e-05
  7.629660e-01   3.838623e-03   9.129946e-05
  7.657600e-01   3.940768e-03   9.143857e-05
  7.685550e-01   3.936076e-03   9.148641e-05
  7.713500e-01   3.648806e-03   8.935327e-05
  7.741450e-01   3.726186e-03   9.019785e-05
  7.769390e-01   3.669413e-03   8.930331e-05
  7.797340e-01   3.657870e-03   8.963938e-05
  7.825290e-01   3.491238e-03   8.798380e-05
  7.853230e-01   3.493008e-03   8.796997e-05
  7.881180e-01   3.389201e-03   8.720354e-05
  7.909130e-01   3.294546e-03   8.650900e-05
  7.937080e-01   3.276980e-03   8.633847e-05
  7.965020e-01   3.284582e-03   8.662107e-05
  7.992970e-01   3.264242e-03   8.547122e-05
  8.020920e-01   3.259373e-03   8.589572e-05
  8.048870e-01   3.171924e-03   8.453730e-05
  8.076810e-01   3.157975e-03   8.489317e-05
  8.104760e-01   3.114403e-03   8.424189e-05
  8.132710e-01   3.016768e-03   8.372484e-05
  8.160660e-01   3.276359e-03   8.549115e-05
  8.188600e-01   2.974518e-03   8.280911e-05
  8.216550e-01   3.108005e-03   8.347365e-05
  8.244500e-01   2.992564e-03   8.287459e-05
  8.272450e-01   2.871289e-03   8.240242e-05
  8.300390e-01   2.875229e-03   8.192757e-05
  8.328340e-01   2.794536e-03   8.083594e-05
  8.356290e-01   2.832715e-03   8.121987e-05
  8.384240e-01   2.846931e-03   8.187314e-05
  8.412180e-01   2.709395e-03   8.202495e-05
  8.440130e-01   2.777725e-03   8.269324e-05
  8.468080e-01   2.630844e-03   8.201924e-05
  8.496030e-01   2.774577e-03   8.320488e-05
  8.523970e-01   2.726373e-03   8.349053e-05
  8.551920e-01   2.712505e-03   8.326878e-05
  8.579870e-01   2.703740e-03   8.373617e-05
  8.607820e-01   2.689418e-03   8.420411e-05
  8.635760e-01   2.640816e-03   8.372689e-05
  8.663710e-01   2.543796e-03   8.311590e-05
  8.691660e-01   2.663000e-03   8.391188e-05
  8.719610e-01   2.631410e-03   8.350821e-05
  8.747550e-01   2.553063e-03   8.388265e-05
  8.775500e-01   2.650615e-03   8.317076e-05
  8.803450e-01   2.503502e-03   8.172113e-05
  8.831400e-01   2.585942e-03   8.160416e-05
  8.859340e-01   2.736444e-03   8.163243e-05
  8.887290e-01   2.630730e-03   8.083354e-05
  8.915240e-01   2.393581e-03   7.838181e-05
  8.943190e-01   2.532641e-03   7.980135e-05
