
           ####      G N O M             Version 5.0 (r12736)      ####
                                               Tue Jul 27 17:38:35 2021

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:       160.0000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:     409691244037148644
    Points in real space:                    82

    Input  1:                      D:/Maxim/Mic9/mic9_mer2.dat
    First data point used:                    1
    Last data point used:                   107
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.837   1.329   0.004   0.906   1.000   0.871   0.848
               --------------------------------------------------------
    Estimate      0.811   0.864   0.999   1.000   1.000   0.650   0.135

    Angular range:                       0.0164 to       0.1746
    Reciprocal space Rg:             0.4813E+02
    Reciprocal space I(0):           0.2659E+03

    Real space range:                    0.0000 to     160.0000
    Real space Rg:                   0.4828E+02 +-   0.1970E+00
    Real space I(0):                 0.2659E+03 +-   0.9129E+00

    Highest ALPHA (theor):           0.1843E+07
    Current ALPHA:                   0.7341E+01

    Total Estimate:                      0.8605 (a GOOD solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG
   0.876727E-01   0.137335E+02   0.186608E+00   0.135131E+02   0.135131E+02
   0.886702E-01   0.136793E+02   0.230155E+00   0.130867E+02   0.130867E+02
   0.898074E-01   0.128388E+02   0.183843E+00   0.126127E+02   0.126127E+02
   0.907962E-01   0.122189E+02   0.225672E+00   0.122107E+02   0.122107E+02
   0.919421E-01   0.116175E+02   0.180562E+00   0.117560E+02   0.117560E+02
   0.929220E-01   0.112656E+02   0.223592E+00   0.113764E+02   0.113764E+02
   0.940769E-01   0.111135E+02   0.179889E+00   0.109395E+02   0.109395E+02
   0.951653E-01   0.107514E+02   0.201075E+00   0.105378E+02   0.105378E+02
   0.963878E-01   0.100773E+02   0.175935E+00   0.100981E+02   0.100981E+02
   0.975262E-01   0.969752E+01   0.218335E+00   0.969943E+01   0.969943E+01
   0.985225E-01   0.963809E+01   0.177002E+00   0.935896E+01   0.935896E+01
   0.996521E-01   0.926566E+01   0.215648E+00   0.898251E+01   0.898251E+01
   0.100657E+00   0.867705E+01   0.172275E+00   0.865621E+01   0.865621E+01
   0.101778E+00   0.823171E+01   0.210905E+00   0.830187E+01   0.830187E+01
   0.102792E+00   0.795349E+01   0.170115E+00   0.799023E+01   0.799023E+01
   0.103904E+00   0.781449E+01   0.210728E+00   0.765834E+01   0.765834E+01
   0.104927E+00   0.743326E+01   0.167818E+00   0.736230E+01   0.736230E+01
   0.106030E+00   0.676383E+01   0.207922E+00   0.705327E+01   0.705327E+01
   0.107062E+00   0.672603E+01   0.163802E+00   0.677384E+01   0.677384E+01
   0.108156E+00   0.641531E+01   0.205565E+00   0.648806E+01   0.648806E+01
   0.109196E+00   0.622006E+01   0.162769E+00   0.622651E+01   0.622651E+01
   0.110384E+00   0.576414E+01   0.162329E+00   0.594001E+01   0.594001E+01
   0.112389E+00   0.539714E+01   0.104872E+00   0.548634E+01   0.548634E+01
   0.114533E+00   0.498731E+01   0.102589E+00   0.504318E+01   0.504318E+01
   0.116676E+00   0.450500E+01   0.102537E+00   0.464324E+01   0.464324E+01
   0.118820E+00   0.429814E+01   0.101650E+00   0.428505E+01   0.428505E+01
   0.120964E+00   0.417448E+01   0.101144E+00   0.396689E+01   0.396689E+01
   0.123107E+00   0.360646E+01   0.993831E-01   0.368615E+01   0.368615E+01
   0.125251E+00   0.352066E+01   0.981806E-01   0.343922E+01   0.343922E+01
   0.127395E+00   0.319683E+01   0.976237E-01   0.322238E+01   0.322238E+01
   0.129538E+00   0.303162E+01   0.980800E-01   0.303154E+01   0.303154E+01
   0.131682E+00   0.279438E+01   0.966522E-01   0.286237E+01   0.286237E+01
   0.133825E+00   0.276152E+01   0.971882E-01   0.271101E+01   0.271101E+01
   0.135968E+00   0.256802E+01   0.952112E-01   0.257372E+01   0.257372E+01
   0.138112E+00   0.240791E+01   0.951589E-01   0.244737E+01   0.244737E+01
   0.140256E+00   0.232749E+01   0.949392E-01   0.232954E+01   0.232954E+01
   0.142400E+00   0.217809E+01   0.950558E-01   0.221845E+01   0.221845E+01
   0.144543E+00   0.211162E+01   0.943254E-01   0.211304E+01   0.211304E+01
   0.146686E+00   0.188257E+01   0.930992E-01   0.201277E+01   0.201277E+01
   0.148830E+00   0.193460E+01   0.929612E-01   0.191759E+01   0.191759E+01
   0.150974E+00   0.186037E+01   0.924488E-01   0.182788E+01   0.182788E+01
   0.153117E+00   0.179765E+01   0.930266E-01   0.174423E+01   0.174423E+01
   0.155261E+00   0.152930E+01   0.923731E-01   0.166712E+01   0.166712E+01
   0.157405E+00   0.171031E+01   0.946909E-01   0.159707E+01   0.159707E+01
   0.159548E+00   0.144295E+01   0.922522E-01   0.153434E+01   0.153434E+01
   0.161692E+00   0.153312E+01   0.920326E-01   0.147883E+01   0.147883E+01
   0.163835E+00   0.149763E+01   0.918123E-01   0.143022E+01   0.143022E+01
   0.165979E+00   0.137504E+01   0.933286E-01   0.138781E+01   0.138781E+01
   0.168122E+00   0.143944E+01   0.914015E-01   0.135068E+01   0.135068E+01
   0.170266E+00   0.120695E+01   0.912209E-01   0.131768E+01   0.131768E+01
   0.172409E+00   0.128432E+01   0.910648E-01   0.128765E+01   0.128765E+01
   0.174553E+00   0.116743E+01   0.914994E-01   0.125935E+01   0.125935E+01

           ####      Real Space Data                               ####

           Distance distribution  function of particle  


      R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.1975E+01  0.7390E-02  0.2108E-03
  0.3951E+01  0.1758E-01  0.3149E-03
  0.5926E+01  0.3039E-01  0.3250E-03
  0.7901E+01  0.4553E-01  0.2621E-03
  0.9877E+01  0.6263E-01  0.1627E-03
  0.1185E+02  0.8123E-01  0.1328E-03
  0.1383E+02  0.1008E+00  0.2424E-03
  0.1580E+02  0.1209E+00  0.3706E-03
  0.1778E+02  0.1409E+00  0.4698E-03
  0.1975E+02  0.1604E+00  0.5228E-03
  0.2173E+02  0.1789E+00  0.5240E-03
  0.2370E+02  0.1959E+00  0.4773E-03
  0.2568E+02  0.2113E+00  0.3976E-03
  0.2765E+02  0.2248E+00  0.3162E-03
  0.2963E+02  0.2362E+00  0.2864E-03
  0.3160E+02  0.2455E+00  0.3379E-03
  0.3358E+02  0.2528E+00  0.4299E-03
  0.3556E+02  0.2581E+00  0.5167E-03
  0.3753E+02  0.2616E+00  0.5759E-03
  0.3951E+02  0.2635E+00  0.6005E-03
  0.4148E+02  0.2640E+00  0.5954E-03
  0.4346E+02  0.2634E+00  0.5757E-03
  0.4543E+02  0.2619E+00  0.5637E-03
  0.4741E+02  0.2597E+00  0.5794E-03
  0.4938E+02  0.2570E+00  0.6263E-03
  0.5136E+02  0.2540E+00  0.6902E-03
  0.5333E+02  0.2508E+00  0.7506E-03
  0.5531E+02  0.2475E+00  0.7915E-03
  0.5728E+02  0.2441E+00  0.8049E-03
  0.5926E+02  0.2408E+00  0.7918E-03
  0.6123E+02  0.2375E+00  0.7616E-03
  0.6321E+02  0.2341E+00  0.7302E-03
  0.6519E+02  0.2307E+00  0.7147E-03
  0.6716E+02  0.2272E+00  0.7248E-03
  0.6914E+02  0.2235E+00  0.7567E-03
  0.7111E+02  0.2195E+00  0.7967E-03
  0.7309E+02  0.2153E+00  0.8304E-03
  0.7506E+02  0.2108E+00  0.8485E-03
  0.7704E+02  0.2059E+00  0.8502E-03
  0.7901E+02  0.2005E+00  0.8417E-03
  0.8099E+02  0.1947E+00  0.8342E-03
  0.8296E+02  0.1885E+00  0.8385E-03
  0.8494E+02  0.1818E+00  0.8590E-03
  0.8691E+02  0.1747E+00  0.8912E-03
  0.8889E+02  0.1672E+00  0.9251E-03
  0.9086E+02  0.1593E+00  0.9511E-03
  0.9284E+02  0.1512E+00  0.9646E-03
  0.9481E+02  0.1429E+00  0.9690E-03
  0.9679E+02  0.1344E+00  0.9747E-03
  0.9877E+02  0.1258E+00  0.9954E-03
  0.1007E+03  0.1172E+00  0.1041E-02
  0.1027E+03  0.1088E+00  0.1111E-02
  0.1047E+03  0.1005E+00  0.1195E-02
  0.1067E+03  0.9246E-01  0.1278E-02
  0.1086E+03  0.8472E-01  0.1343E-02
  0.1106E+03  0.7735E-01  0.1382E-02
  0.1126E+03  0.7036E-01  0.1393E-02
  0.1146E+03  0.6381E-01  0.1381E-02
  0.1165E+03  0.5770E-01  0.1358E-02
  0.1185E+03  0.5204E-01  0.1339E-02
  0.1205E+03  0.4685E-01  0.1341E-02
  0.1225E+03  0.4211E-01  0.1367E-02
  0.1244E+03  0.3782E-01  0.1415E-02
  0.1264E+03  0.3397E-01  0.1472E-02
  0.1284E+03  0.3054E-01  0.1526E-02
  0.1304E+03  0.2752E-01  0.1565E-02
  0.1323E+03  0.2488E-01  0.1587E-02
  0.1343E+03  0.2260E-01  0.1593E-02
  0.1363E+03  0.2065E-01  0.1596E-02
  0.1383E+03  0.1900E-01  0.1606E-02
  0.1402E+03  0.1758E-01  0.1636E-02
  0.1422E+03  0.1635E-01  0.1690E-02
  0.1442E+03  0.1523E-01  0.1762E-02
  0.1462E+03  0.1415E-01  0.1837E-02
  0.1481E+03  0.1301E-01  0.1890E-02
  0.1501E+03  0.1173E-01  0.1891E-02
  0.1521E+03  0.1021E-01  0.1810E-02
  0.1541E+03  0.8345E-02  0.1611E-02
  0.1560E+03  0.6067E-02  0.1264E-02
  0.1580E+03  0.3302E-02  0.7361E-03
  0.1600E+03  0.0000E+00  0.0000E+00
