Data divided by constant (Conc)                                               
mic9_mer1.da  Conc = .65E+00  Mult = .10E+01  N1 =    1  N2 =  364  SCALE =  1
  0.180984E+00  0.114918E+01  0.906011E-01
  0.183127E+00  0.113718E+01  0.914218E-01
  0.185271E+00  0.997791E+00  0.899363E-01
  0.187414E+00  0.101077E+01  0.901920E-01
  0.189558E+00  0.984003E+00  0.922255E-01
  0.191702E+00  0.906632E+00  0.889588E-01
  0.193845E+00  0.824114E+00  0.886308E-01
  0.195989E+00  0.901325E+00  0.886111E-01
  0.198132E+00  0.911063E+00  0.889655E-01
  0.200276E+00  0.705820E+00  0.876768E-01
  0.202419E+00  0.779894E+00  0.885151E-01
  0.204563E+00  0.641252E+00  0.879368E-01
  0.206707E+00  0.888682E+00  0.882277E-01
  0.208850E+00  0.715962E+00  0.885086E-01
  0.210994E+00  0.727894E+00  0.881902E-01
  0.213137E+00  0.619374E+00  0.863397E-01
  0.215281E+00  0.725749E+00  0.876943E-01
  0.217425E+00  0.679478E+00  0.869152E-01
  0.219568E+00  0.662725E+00  0.866171E-01
  0.221712E+00  0.467600E+00  0.875308E-01
  0.223855E+00  0.549800E+00  0.870729E-01
  0.225999E+00  0.595192E+00  0.904555E-01
  0.228143E+00  0.440654E+00  0.880663E-01
  0.230258E+00  0.544586E+00  0.733209E-01
  0.231597E+00  0.417065E+00  0.718577E-01
  0.232926E+00  0.522923E+00  0.732743E-01
  0.234265E+00  0.431069E+00  0.726465E-01
  0.235594E+00  0.453300E+00  0.728428E-01
  0.236932E+00  0.502338E+00  0.725425E-01
  0.238261E+00  0.346015E+00  0.711571E-01
  0.239524E+00  0.397692E+00  0.523228E-01
  0.240838E+00  0.450745E+00  0.714254E-01
  0.242167E+00  0.293538E+00  0.709449E-01
  0.243505E+00  0.419477E+00  0.716631E-01
  0.244835E+00  0.486800E+00  0.718492E-01
  0.246173E+00  0.466318E+00  0.720478E-01
  0.247479E+00  0.409926E+00  0.529202E-01
  0.248741E+00  0.424542E+00  0.717082E-01
